"","id","draft_date","community","housing_type","gender","tenure","years_in_community","adult_count","child_count","hh_size","rooms_in_hh","density","primary_dw_source","dw_reason_convenience","dw_reason_affordable","dw_reason_available","dw_reason_cold","dw_reason_clean","dw_reason_taste","dw_reason_habit","dw_reason_trustworthy","dw_reason_health","dw_reason_other","primary_water_source","secondary_water_source","payment_mode_primary","payment_mode_secondary","daily_hh_water_cost","daily_hh_water_cost_phhm","storage","binary_struggle","time_of_last_struggle","weekdays_struggle","coping_sachet_to_cook","coping_skipped_cooking","coping_sachet_to_bathe","coping_skipped_bathing","coping_closed_business","coping_skipped_laundry"
"42",52,2023-11-12 15:28:38,"abuja","wood_shack","female","rented",20,6,0,6,1,6,"packaged",0,1,1,0,0,0,0,0,0,0,"commercial_tap","packaged","pay_to_fetch","pay_to_fetch",24.8571428571429,4.14285714285714,350,"Yes","last_3_days",1,1,0,0,1,0,1
"43",43,2023-11-10 14:20:48,"kg","compound_house","female","no_payment",17,7,9,16,3,5.33333333333333,"packaged",0,0,0,0,1,1,0,0,0,0,"piped_to_compound",NA,"shares_bill","na",NA,NA,1000,"Yes","over_year_ago",0,1,0,0,0,0,0
"44",53,2023-11-12 15:46:14,"abuja","wood_shack","female","rented",40,3,3,6,1,6,"packaged",0,0,0,0,0,1,0,1,0,0,"commercial_tap",NA,"pay_to_fetch","na",15,2.5,0,"Yes","last_year",0,0,0,1,1,0,1
"45",45,2023-11-12 10:32:05,"kg","house","female","rented",25,2,4,6,1,6,"packaged",0,0,0,0,1,0,0,0,0,0,"piped_to_compound","delivered","shares_bill","pay_to_fetch",NA,NA,60,"Yes","last_30_days",0,0,1,0,1,0,1
"46",55,2023-11-12 16:19:49,"abuja","wood_shack","female","rented",8,4,3,7,1,7,"packaged",0,0,0,1,0,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",51.4285714285714,7.3469387755102,0,"Yes","last_3_days",1,0,0,0,0,1,0
"47",56,2023-11-12 16:35:45,"abuja","wood_shack","female","owned",1,4,4,8,1,8,"packaged",0,0,0,1,0,1,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",18,2.25,200,"Yes","last_3_days",1,0,0,1,0,0,1
"48",57,2023-11-15 10:36:10,"abuja","no_structure","female","rented",30,6,0,6,NA,NA,"packaged",0,0,0,0,0,0,0,1,1,0,"commercial_tap",NA,"pay_to_fetch","na",52.2857142857143,8.71428571428571,0,"Yes","last_3_days",3.5,0,0,0,0,1,0
"49",58,2023-11-15 10:59:39,"abuja","wood_shack","female","no_payment",10,8,0,8,1,8,"packaged",0,0,1,1,0,0,0,0,0,0,"commercial_tap","borehole","pay_to_fetch","pay_to_fetch",36.5,4.5625,0,"Yes","last_3_days",2.5,0,1,0,1,0,0
"50",59,2023-11-15 11:12:04,"abuja","wood_shack","male","rented",10,13,7,20,1,20,"packaged",0,0,0,0,1,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",93,4.65,0,"Yes","last_7_days",3,0,0,1,0,0,0
"51",60,2023-11-15 11:36:01,"abuja","wood_shack","female","rented",9,2,0,2,1,2,"packaged",0,0,0,1,0,0,0,0,0,0,"commercial_tap",NA,"pay_to_fetch","na",10.5714285714286,5.28571428571429,250,"Yes","last_7_days",1,0,0,0,0,0,0
"52",61,2023-11-15 11:53:54,"abuja","no_structure","female","owned",30,2,2,4,NA,NA,"packaged",0,0,0,0,0,0,0,1,1,0,"commercial_tap",NA,"pay_to_fetch","na",12.4285714285714,3.10714285714286,150,"Yes","over_year_ago",0,0,0,0,0,0,0
