"","id","community","housing_type","gender","tenure","hhhead_relation","business_owned","business_type","primary_dw_source","reasons_primary_dw","secondary_dw_source","reasons_secondary_dw","preferred_brand","primary_water_source","secondary_water_source","payment_mode","daily_hh_water_cost","daily_hh_water_cost_phhm","coping_mechanisms","time_of_last_coping","dbl_variable","value"
"36",4,"abuja","block_unit","female","rented","self","no","na","packaged","cleanliness;trustworthiness","na","na","high_end","commercial_tap","na","pay_to_fetch","28","4","na","na","days_struggle",0
"37",5,"abuja","block_unit","female","rented","self","no","na","packaged","cleanliness;taste","commercial_tap","money","none","commercial_tap","commercial_tap","pay_to_fetch","32.5","6.5","skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_3_days","years_in_community",20
"38",5,"abuja","block_unit","female","rented","self","no","na","packaged","cleanliness;taste","commercial_tap","money","none","commercial_tap","commercial_tap","pay_to_fetch","32.5","6.5","skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_3_days","adult_count",5
"39",5,"abuja","block_unit","female","rented","self","no","na","packaged","cleanliness;taste","commercial_tap","money","none","commercial_tap","commercial_tap","pay_to_fetch","32.5","6.5","skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_3_days","child_count",5
"40",5,"abuja","block_unit","female","rented","self","no","na","packaged","cleanliness;taste","commercial_tap","money","none","commercial_tap","commercial_tap","pay_to_fetch","32.5","6.5","skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_3_days","hh_size",10
"41",5,"abuja","block_unit","female","rented","self","no","na","packaged","cleanliness;taste","commercial_tap","money","none","commercial_tap","commercial_tap","pay_to_fetch","32.5","6.5","skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_3_days","rooms_in_hh",1
"42",5,"abuja","block_unit","female","rented","self","no","na","packaged","cleanliness;taste","commercial_tap","money","none","commercial_tap","commercial_tap","pay_to_fetch","32.5","6.5","skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_3_days","density",10
"43",5,"abuja","block_unit","female","rented","self","no","na","packaged","cleanliness;taste","commercial_tap","money","none","commercial_tap","commercial_tap","pay_to_fetch","32.5","6.5","skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_3_days","daily_dw_cost_pp",3.2
"44",5,"abuja","block_unit","female","rented","self","no","na","packaged","cleanliness;taste","commercial_tap","money","none","commercial_tap","commercial_tap","pay_to_fetch","32.5","6.5","skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_3_days","storage",100
"45",5,"abuja","block_unit","female","rented","self","no","na","packaged","cleanliness;taste","commercial_tap","money","none","commercial_tap","commercial_tap","pay_to_fetch","32.5","6.5","skipped_cooking;sachet_to_bathe;skipped_bathing;skipped_laundry","last_3_days","days_struggle",0
